paper_table,experiment,model,dataset,task,metric,paper_value,reproduced_value,absolute_delta,relative_delta,seed,checkpoint,status,notes
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B (+Cl),Clotho,T2A,R@1,21.57,21.72248803827751,0.152488,0.706945,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.152488 percentage points. This predeclared protocol remains separate from the missing strict paper protocol; the public-code audio candidate bank also omits the passage: prefix stated by PAPER."
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B (+Cl),Clotho,T2A,R@5,47.16,47.119617224880386,0.040383,-0.085629,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.040383 percentage points. This predeclared protocol remains separate from the missing strict paper protocol; the public-code audio candidate bank also omits the passage: prefix stated by PAPER."
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B (+Cl),Clotho,T2A,R@10,60.36,60.44019138755981,0.080191,0.132855,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.080191 percentage points. This predeclared protocol remains separate from the missing strict paper protocol; the public-code audio candidate bank also omits the passage: prefix stated by PAPER."
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B (+Cl),Clotho,T2A,R@1,21.57,21.626794258373206,0.056794,0.263302,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.056794 percentage points. The public-code audio candidate bank omits the passage: prefix stated by PAPER.
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B (+Cl),Clotho,T2A,R@5,47.16,46.79425837320574,0.365742,-0.775534,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.365742 percentage points. The public-code audio candidate bank omits the passage: prefix stated by PAPER.
Table 2,oea_nemo3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B (+Cl),Clotho,T2A,R@10,60.36,59.80861244019139,0.551388,-0.913498,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.551388 percentage points. The public-code audio candidate bank omits the passage: prefix stated by PAPER.
Table 2,oea_nemo3b_cl_clotho_t2a_strict_paper_protocol,OEA-Nemo3B (+Cl),Clotho,T2A,R@1,21.57,,,,,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_nemo3b_cl_clotho_t2a_strict_paper_protocol,OEA-Nemo3B (+Cl),Clotho,T2A,R@5,47.16,,,,,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_nemo3b_cl_clotho_t2a_strict_paper_protocol,OEA-Nemo3B (+Cl),Clotho,T2A,R@10,60.36,,,,,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B (+Cl),Clotho,T2A,R@1,22.87,22.736842105263158,0.133158,-0.582238,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.133158 percentage points. This predeclared protocol is reported separately and is not promoted to the missing strict paper protocol based on closeness."
