model,task,reproduced_r_at_1,paper_r_at_1,delta_pp_r_at_1,reproduced_r_at_5,paper_r_at_5,delta_pp_r_at_5,reproduced_r_at_10,paper_r_at_10,delta_pp_r_at_10,maximum_absolute_delta_pp,strict_paper_reproduction
LAION-CLAP,T2A,15.675286,14.1,1.575286,39.445423,36.35,3.095423,52.513769,48.94,3.573769,3.573769,False
LAION-CLAP,T2T,34.906032,36.41,-1.503968,55.478794,56.39,-0.911206,64.910301,65.81,-0.899699,1.503968,False
Robust-CLAP,T2A,15.809437,15.94,-0.130563,39.698562,39.69,0.008562,52.408554,52.32,0.088554,0.130563,False
Robust-CLAP,T2T,34.906032,36.4,-1.493968,55.478794,56.39,-0.911206,64.910301,65.82,-0.909699,1.493968,False
MGA-CLAP,T2A,23.400785,21.06,2.340785,48.859992,45.8,3.059992,60.57014,57.72,2.85014,3.059992,False
MGA-CLAP,T2T,41.050077,43.52,-2.469923,59.360945,62.32,-2.959055,67.897529,70.63,-2.732471,2.959055,False
M2D-CLAP,T2A,21.304486,22.1,-0.795514,46.6538,47.86,-1.2062,58.2914,59.15,-0.8586,1.2062,False
M2D-CLAP,T2T,37.224862,40.43,-3.205138,56.9775,59.27,-2.2925,65.714469,68.08,-2.365531,3.205138,False
Nemotron-3B,T2A,5.104341,5.0,0.104341,15.404825,14.64,0.764825,24.090884,21.74,2.350884,2.350884,False
Nemotron-3B,T2T,31.738394,32.62,-0.881606,46.42228,47.47,-1.04772,54.381165,55.32,-0.938835,1.04772,False
Qwen2.5-Omni-3B,T2A,0.240314,0.22,0.020314,0.829854,0.82,0.009854,1.535371,1.52,0.015371,0.020314,False
Qwen2.5-Omni-3B,T2T,21.592365,21.39,0.202365,32.668445,31.79,0.878445,39.382279,37.95,1.432279,1.432279,False
Qwen2.5-Omni-7B,T2A,0.193138,0.22,-0.026862,1.001449,0.9,0.101449,1.947853,2.01,-0.062147,0.101449,False
Qwen2.5-Omni-7B,T2T,22.596822,22.49,0.106822,34.089261,33.97,0.119261,39.717893,40.27,-0.552107,0.552107,False
OEA-Nemo3B,T2A,21.400785,21.96,-0.559215,45.918808,45.91,0.008808,57.726661,57.98,-0.253339,0.559215,False
OEA-Nemo3B,T2T,43.985279,44.62,-0.634721,61.011789,63.36,-2.348211,70.2286,72.03,-1.8014,2.348211,False
OEA-Nemo3B (+Cl),T2A,21.473921,21.43,0.043921,46.777205,46.26,0.517205,58.370001,58.38,-0.009999,0.517205,False
OEA-Nemo3B (+Cl),T2T,44.049108,45.17,-1.120892,61.498781,64.05,-2.551219,70.996443,72.47,-1.473557,2.551219,False
OEA-Qwen3B,T2A,21.312779,20.88,0.432779,45.045783,43.72,1.325783,57.230637,55.17,2.060637,2.060637,False
OEA-Qwen3B,T2T,43.650369,44.94,-1.289631,61.255081,63.8,-2.544919,70.298122,72.2,-1.901878,2.544919,False
OEA-Qwen3B (+Cl),T2A,21.814393,21.54,0.274393,46.93077,45.43,1.50077,59.402282,56.67,2.732282,2.732282,False
OEA-Qwen3B (+Cl),T2T,45.515402,46.27,-0.754598,63.029034,64.47,-1.440966,71.26877,72.98,-1.71123,1.71123,False
OEA-Qwen7B,T2A,21.610182,21.85,-0.239818,46.533503,46.77,-0.236497,58.274731,58.56,-0.285269,0.285269,False
OEA-Qwen7B,T2T,43.880494,46.46,-2.579506,62.433313,64.6,-2.166687,71.330408,73.2,-1.869592,2.579506,False
OEA-Qwen7B (+Cl),T2A,21.311617,21.27,0.041617,46.385087,46.4,-0.014913,58.220552,58.89,-0.669448,0.669448,False
OEA-Qwen7B (+Cl),T2T,43.880494,46.32,-2.439506,62.032184,64.75,-2.717816,70.793737,73.21,-2.416263,2.717816,False
